sender_id,mean_sts_score
13560,0.56260556
16853,0.5751548
18608,0.56178623
24405,0.5585296
30397,0.573216
31392,0.6124148
37695,0.5773804
46657,0.57134986
47182,0.59749603
56660,0.5630088
62483,0.56298596
65159,0.5797784
65882,0.61071044
65930,0.5745223
67560,0.60733116
68918,0.56908244
73830,0.6015435
74141,0.5510042
76003,0.567197
79689,0.6051662
89877,0.59043807
90684,0.5740773
90887,0.5685813
94545,0.58525527
97946,0.57490546
106152,0.56851405
108038,0.5836957
110325,0.5651986
115963,0.5706409
119108,0.5645319
121131,0.5749064
126757,0.56066173
136117,0.59712577
140700,0.5828151
142465,0.59510136
143242,0.5856797
144933,0.5792543
147974,0.56145084
167407,0.60304475
168016,0.55717075
173913,0.5924825
176865,0.5655586
179220,0.58970356
179363,0.58267134
183128,0.5713787
186600,0.5722686
188277,0.55713105
192992,0.58656335
196442,0.5700182
220828,0.594749
226077,0.5829735
234381,0.5649182
234448,0.5639919
234888,0.5789159
236280,0.58188593
243614,0.58268404
249310,0.5908804
250067,0.5503705
250908,0.58808446
255359,0.6048308
259141,0.557377
259556,0.56296587
260441,0.57056624
260859,0.57362425
261957,0.5745567
265617,0.5695333
268194,0.57404137
269224,0.60162455
269608,0.58181876
270094,0.57147944
272262,0.5744586
273563,0.5943321
274305,0.5905622
275657,0.5481521
277133,0.5864227
277572,0.5685535
282831,0.5861941
295435,0.57873785
296979,0.5609263
301090,0.5750297
307264,0.59248024
313398,0.5965407
318029,0.5810054
320208,0.5580435
328848,0.5773852
329600,0.58634144
337769,0.5605283
359204,0.62865925
371017,0.5840349
378434,0.5955918
382504,0.5705217
382505,0.5800025
390594,0.5609438
391638,0.5805922
396840,0.5840537
397901,0.5959632
404045,0.57855207
410784,0.5876166
426733,0.5527398
431861,0.6054249
432681,0.55597496
440821,0.6032361
442605,0.5699282
445304,0.5818846
448989,0.5941577
451102,0.570707
461714,0.5756782
464297,0.56942046
465585,0.59093225
472913,0.5777654
476638,0.5732735
481521,0.56199145
482924,0.5699204
492825,0.5899506
495254,0.5844374
496751,0.5574555
504005,0.554018
513280,0.56559443
514869,0.5896252
526645,0.5952699
527924,0.5737263
551759,0.5718577
553910,0.58008623
554266,0.55843127
562583,0.56456983
566603,0.5789119
566635,0.56773823
567234,0.5903116
569486,0.57650244
571491,0.5856311
578402,0.595781
594825,0.58751476
598908,0.571097
610382,0.58356345
612428,0.5901801
616497,0.5786592
620071,0.5826696
632601,0.57733583
636532,0.57989824
643457,0.5619241
650665,0.5613801
660772,0.6022295
661074,0.6066278
674615,0.5811891
683727,0.5660317
685701,0.5677091
688468,0.56462914
689043,0.5677937
690857,0.58518606
694133,0.5680956
694299,0.5791942
696373,0.5839593
703958,0.5898163
705965,0.57493097
706895,0.6280983
715202,0.56046253
721530,0.57981265
727626,0.57001436
728827,0.56030405
730978,0.6194105
737930,0.5654711
748631,0.59431857
752013,0.56807923
756517,0.56088996
784170,0.6077397
789389,0.5669102
792000,0.58020055
808558,0.57199466
811602,0.5889616
819141,0.56450504
825848,0.5765145
828627,0.5820385
832427,0.5844035
835074,0.5623928
840490,0.5863234
859923,0.56833464
861963,0.567373
865552,0.55477667
869923,0.57764715
879404,0.5800195
884325,0.59318525
902133,0.56925315
903981,0.54844356
910349,0.5676011
911655,0.58007765
916157,0.5905336
921274,0.5760182
923365,0.565835
924497,0.5748932
925154,0.59333587
928513,0.56118673
931415,0.56973463
932208,0.61775523
939559,0.62311447
942298,0.59318364
944735,0.5845974
947980,0.5615509
951397,0.57881176
952103,0.5739186
953646,0.5854392
953732,0.6060749
960096,0.57126933
963934,0.57673824
966678,0.5785036
976819,0.5735777
977710,0.5836041
981044,0.58003104
981471,0.57912487
989044,0.5749831
990670,0.5855341
